Index,LOCATION,SUBJECT,TIME,Value
223,AUT,TOT,2010,4.82168
224,AUT,TOT,2011,4.566622
225,AUT,TOT,2012,4.863267
226,AUT,TOT,2013,5.336031
227,AUT,TOT,2014,5.621219
228,AUT,TOT,2015,5.723468
229,AUT,TOT,2016,6.014071
230,AUT,TOT,2017,5.500528
231,AUT,TOT,2018,4.848801
313,BEL,TOT,2010,8.293048
314,BEL,TOT,2011,7.139795
315,BEL,TOT,2012,7.537931
316,BEL,TOT,2013,8.425185
317,BEL,TOT,2014,8.52289
318,BEL,TOT,2015,8.481071
319,BEL,TOT,2016,7.833329
320,BEL,TOT,2017,7.088736
321,BEL,TOT,2018,5.949855
565,CZE,TOT,2010,7.279707
566,CZE,TOT,2011,6.711369
567,CZE,TOT,2012,6.977849
568,CZE,TOT,2013,6.953799
569,CZE,TOT,2014,6.109115
570,CZE,TOT,2015,5.046221
571,CZE,TOT,2016,3.952049
572,CZE,TOT,2017,2.890817
573,CZE,TOT,2018,2.243518
634,DNK,TOT,2010,7.747934
635,DNK,TOT,2011,7.769598
636,DNK,TOT,2012,7.797653
637,DNK,TOT,2013,7.382339
638,DNK,TOT,2014,6.927884
639,DNK,TOT,2015,6.278275
640,DNK,TOT,2016,5.988536
641,DNK,TOT,2017,5.833254
642,DNK,TOT,2018,5.132677
700,FIN,TOT,2010,8.386981
701,FIN,TOT,2011,7.774969
702,FIN,TOT,2012,7.68181
703,FIN,TOT,2013,8.186392
704,FIN,TOT,2014,8.657802
705,FIN,TOT,2015,9.367311
706,FIN,TOT,2016,8.811286
707,FIN,TOT,2017,8.63445
708,FIN,TOT,2018,7.357432
753,FRA,TOT,2010,8.871792
754,FRA,TOT,2011,8.811044
755,FRA,TOT,2012,9.399351
756,FRA,TOT,2013,9.921325
757,FRA,TOT,2014,10.29171
758,FRA,TOT,2015,10.35981
759,FRA,TOT,2016,10.05661
760,FRA,TOT,2017,9.398605
761,FRA,TOT,2018,9.059228
881,DEU,TOT,2010,6.967637
882,DEU,TOT,2011,5.827424
883,DEU,TOT,2012,5.380757
884,DEU,TOT,2013,5.231962
885,DEU,TOT,2014,4.981592
886,DEU,TOT,2015,4.624955
887,DEU,TOT,2016,4.122733
888,DEU,TOT,2017,3.746631
889,DEU,TOT,2018,3.38409
978,GRC,TOT,2010,12.71716
979,GRC,TOT,2011,17.87071
980,GRC,TOT,2012,24.44174
981,GRC,TOT,2013,27.46715
982,GRC,TOT,2014,26.49027
983,GRC,TOT,2015,24.90084
984,GRC,TOT,2016,23.54104
985,GRC,TOT,2017,21.48901
986,GRC,TOT,2018,19.29447
1039,HUN,TOT,2010,11.17377
1040,HUN,TOT,2011,11.03269
1041,HUN,TOT,2012,11.00812
1042,HUN,TOT,2013,10.18524
1043,HUN,TOT,2014,7.728486
1044,HUN,TOT,2015,6.817803
1045,HUN,TOT,2016,5.119285
1046,HUN,TOT,2017,4.157162
1047,HUN,TOT,2018,3.707886
1149,IRL,TOT,2010,14.53227
1150,IRL,TOT,2011,15.35064
1151,IRL,TOT,2012,15.44939
1152,IRL,TOT,2013,13.73561
1153,IRL,TOT,2014,11.85948
1154,IRL,TOT,2015,9.909575
1155,IRL,TOT,2016,8.37511
1156,IRL,TOT,2017,6.71373
1157,IRL,TOT,2018,5.738596
1212,ITA,TOT,2010,8.359172
1213,ITA,TOT,2011,8.353756
1214,ITA,TOT,2012,10.65126
1215,ITA,TOT,2013,12.14521
1216,ITA,TOT,2014,12.6798
1217,ITA,TOT,2015,11.89388
1218,ITA,TOT,2016,11.68803
1219,ITA,TOT,2017,11.21117
1220,ITA,TOT,2018,10.60792
1551,LUX,TOT,2010,4.351644
1552,LUX,TOT,2011,4.896927
1553,LUX,TOT,2012,5.138287
1554,LUX,TOT,2013,5.836521
1555,LUX,TOT,2014,5.854882
1556,LUX,TOT,2015,6.658826
1557,LUX,TOT,2016,6.285928
1558,LUX,TOT,2017,5.516146
1559,LUX,TOT,2018,5.582682
1669,NLD,TOT,2010,4.989325
1670,NLD,TOT,2011,4.976648
1671,NLD,TOT,2012,5.820699
1672,NLD,TOT,2013,7.242696
1673,NLD,TOT,2014,7.416319
1674,NLD,TOT,2015,6.87228
1675,NLD,TOT,2016,6.00791
1676,NLD,TOT,2017,4.840418
1677,NLD,TOT,2018,3.832352
1902,NOR,TOT,2010,3.521047
1903,NOR,TOT,2011,3.214387
1904,NOR,TOT,2012,3.123188
1905,NOR,TOT,2013,3.422888
1906,NOR,TOT,2014,3.484511
1907,NOR,TOT,2015,4.295396
1908,NOR,TOT,2016,4.677024
1909,NOR,TOT,2017,4.162159
1910,NOR,TOT,2018,3.799347
1959,POL,TOT,2010,9.640347
1960,POL,TOT,2011,9.632815
1961,POL,TOT,2012,10.08882
1962,POL,TOT,2013,10.32862
1963,POL,TOT,2014,8.990872
1964,POL,TOT,2015,7.50308
1965,POL,TOT,2016,6.161703
1966,POL,TOT,2017,4.887239
1967,POL,TOT,2018,3.846072
2020,PRT,TOT,2010,10.76982
2021,PRT,TOT,2011,12.68106
2022,PRT,TOT,2012,15.53028
2023,PRT,TOT,2013,16.1838
2024,PRT,TOT,2014,13.89509
2025,PRT,TOT,2015,12.44469
2026,PRT,TOT,2016,11.06846
2027,PRT,TOT,2017,8.870407
2028,PRT,TOT,2018,6.994051
2091,SVK,TOT,2010,14.38103
2092,SVK,TOT,2011,13.61758
2093,SVK,TOT,2012,13.96335
2094,SVK,TOT,2013,14.22133
2095,SVK,TOT,2014,13.18428
2096,SVK,TOT,2015,11.48227
2097,SVK,TOT,2016,9.671689
2098,SVK,TOT,2017,8.130965
2099,SVK,TOT,2018,6.536399
2156,ESP,TOT,2010,19.8598
2157,ESP,TOT,2011,21.39048
2158,ESP,TOT,2012,24.78815
2159,ESP,TOT,2013,26.0919
2160,ESP,TOT,2014,24.44284
2161,ESP,TOT,2015,22.05655
2162,ESP,TOT,2016,19.63388
2163,ESP,TOT,2017,17.22489
2164,ESP,TOT,2018,15.25788
2212,SWE,TOT,2010,8.610753
2213,SWE,TOT,2011,7.80387
2214,SWE,TOT,2012,7.975423
2215,SWE,TOT,2013,8.052903
2216,SWE,TOT,2014,7.955972
2217,SWE,TOT,2015,7.432082
2218,SWE,TOT,2016,6.991096
2219,SWE,TOT,2017,6.718704
2220,SWE,TOT,2018,6.364352
2248,CHE,TOT,2010,4.803483
2249,CHE,TOT,2011,4.401403
2250,CHE,TOT,2012,4.48394
2251,CHE,TOT,2013,4.746688
2252,CHE,TOT,2014,4.829303
2253,CHE,TOT,2015,4.80018
2254,CHE,TOT,2016,4.918711
2255,CHE,TOT,2017,4.797114
2256,CHE,TOT,2018,4.714227
2283,TUR,TOT,2010,10.68452
2284,TUR,TOT,2011,8.814762
2285,TUR,TOT,2012,8.166607
2286,TUR,TOT,2013,8.740033
2287,TUR,TOT,2014,9.883171
2288,TUR,TOT,2015,10.24497
2289,TUR,TOT,2016,10.83812
2290,TUR,TOT,2017,10.83303
2291,TUR,TOT,2018,10.88748
2334,GBR,TOT,2010,7.786648
2335,GBR,TOT,2011,8.036686
2336,GBR,TOT,2012,7.885344
2337,GBR,TOT,2013,7.525075
2338,GBR,TOT,2014,6.110472
2339,GBR,TOT,2015,5.301053
2340,GBR,TOT,2016,4.809951
2341,GBR,TOT,2017,4.330292
2342,GBR,TOT,2018,3.996093
2716,EST,TOT,2010,16.70262
2717,EST,TOT,2011,12.33337
2718,EST,TOT,2012,10.02366
2719,EST,TOT,2013,8.631536
2720,EST,TOT,2014,7.355543
2721,EST,TOT,2015,6.191967
2722,EST,TOT,2016,6.753039
2723,EST,TOT,2017,5.762793
2724,EST,TOT,2018,5.374337
2819,ISR,TOT,2010,6.636595
2820,ISR,TOT,2011,5.602376
2821,ISR,TOT,2012,6.85
2822,ISR,TOT,2013,6.208333
2823,ISR,TOT,2014,5.908333
2824,ISR,TOT,2015,5.241667
2825,ISR,TOT,2016,4.808333
2826,ISR,TOT,2017,4.216667
2827,ISR,TOT,2018,4
2896,RUS,TOT,2010,7.483333
2897,RUS,TOT,2011,6.499474
2898,RUS,TOT,2012,5.462007
2899,RUS,TOT,2013,5.485319
2900,RUS,TOT,2014,5.1575
2901,RUS,TOT,2015,5.568395
2902,RUS,TOT,2016,5.53882
2903,RUS,TOT,2017,5.212452
2904,RUS,TOT,2018,4.802335
2963,SVN,TOT,2010,7.237447
2964,SVN,TOT,2011,8.169436
2965,SVN,TOT,2012,8.838806
2966,SVN,TOT,2013,10.10859
2967,SVN,TOT,2014,9.673278
2968,SVN,TOT,2015,8.962607
2969,SVN,TOT,2016,8.006598
2970,SVN,TOT,2017,6.569075
2971,SVN,TOT,2018,5.110229
28695,LVA,TOT,2010,19.48375
28696,LVA,TOT,2011,16.21216
28697,LVA,TOT,2012,15.0552
28698,LVA,TOT,2013,11.8683
28699,LVA,TOT,2014,10.84309
28700,LVA,TOT,2015,9.875636
28701,LVA,TOT,2016,9.641258
28702,LVA,TOT,2017,8.716354
28703,LVA,TOT,2018,7.415344